,categories,coordinates.latitude,coordinates.longitude,id,location.address1,location.address2,location.address3,location.city,location.country,location.formatted_address,location.postal_code,location.state,name,price,rating,review_count,url,cluster_id,score,path
15,[{'alias': 'karaoke'}],34.0575905,-118.2982101,xr-gKhqHQHr-1Y_o1FRwHQ,3208 W 8th S,,,Los Angeles,US,"3208 W 8th S
Los Angeles, CA 90005",90005,CA,Simple Karaoke,$$$$,2.5,9,https://www.yelp.com/biz/simple-karaoke-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,1,3.454242509,1
12,"[{'alias': 'breakfast_brunch'}, {'alias': 'newamerican'}, {'alias': 'cocktailbars'}]",34.057597,-118.2977468,AX-hRDB8zpIHKMix9VqB8g,3200 W 8th St,,,Los Angeles,US,"3200 W 8th St
Los Angeles, CA 90005",90005,CA,H Cafe,$$,4.5,415,https://www.yelp.com/biz/h-cafe-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,1,7.118048097,2
11,"[{'alias': 'bars'}, {'alias': 'karaoke'}]",34.0576051,-118.2973048,hsoN6rzsQ8A1YbMRNzEnLw,3188 W 8th St,,,Los Angeles,US,"3188 W 8th St
Los Angeles, CA 90005",90005,CA,Saba Saba,,1.5,2,https://www.yelp.com/biz/saba-saba-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,1,1.801029996,3
10,[{'alias': 'karaoke'}],34.05769497,-118.2969102,by1MU_kylxTepZa-XF51mg,3170 W 8th St,,,Los Angeles,US,"3170 W 8th St
Los Angeles, CA 90005",90005,CA,Cafe Beverly,$$$,5,1,https://www.yelp.com/biz/cafe-beverly-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,1,5,4
362,[{'alias': 'danceclubs'}],34.06519,-118.23712,39R9hNl3eNHoum1__at-WA,943 N Broadway Ave,,The Grand Star Jazz Club,Los Angeles,US,"943 N Broadway Ave
The Grand Star Jazz Club
Los Angeles, CA 90012",90012,CA,The Fly Ball,,5,3,https://www.yelp.com/biz/the-fly-ball-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,4,5.477121255,1
363,"[{'alias': 'coffee'}, {'alias': 'cocktailbars'}]",34.0643,-118.23661,Dd9v6BA9GdJOAg-FaT-hMA,900 N Broadway,Ste 1050,,Los Angeles,US,"900 N Broadway
Ste 1050
Los Angeles, CA 90012",90012,CA,Songbird Cafe,,4.5,60,https://www.yelp.com/biz/songbird-cafe-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,4,6.27815125,2
354,"[{'alias': 'thai'}, {'alias': 'bars'}, {'alias': 'asianfusion'}]",34.0622884,-118.2374026,64KgwQP77N8Px1ABINlEkA,211 Alpine St,Ste 8,,Los Angeles,US,"211 Alpine St
Ste 8
Los Angeles, CA 90012",90012,CA,Salathai Restaurant,$$,3.5,219,https://www.yelp.com/biz/salathai-restaurant-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,4,5.840444115,3
359,[{'alias': 'danceclubs'}],34.05955124,-118.2377243,Xx1-tUWHwAmlX819Wz0mBg,686 N Spring St,,,Los Angeles,US,"686 N Spring St
Los Angeles, CA 90012",90012,CA,Club Eternal,,2.5,3,https://www.yelp.com/biz/club-eternal-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,4,2.977121255,4
358,"[{'alias': 'lounges'}, {'alias': 'venues'}]",34.0595704,-118.237632,neaOe1W5NS4KfKisU5qB6w,686 N Spring St,,,Los Angeles,US,"686 N Spring St
Los Angeles, CA 90012",90012,CA,Treehouse Rooftop,$$,2,138,https://www.yelp.com/biz/treehouse-rooftop-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,4,4.139879086,5
364,"[{'alias': 'mexican'}, {'alias': 'venues'}, {'alias': 'bars'}]",34.0571939,-118.2384039,EcWhh6JiQo7xkH70NPLGtw,17 Olvera St,,,Los Angeles,US,"17 Olvera St
Los Angeles, CA 90012",90012,CA,La Golondrina Mexican Cafe,$$,3.5,947,https://www.yelp.com/biz/la-golondrina-mexican-cafe-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,5,6.476349979,1
